Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Richmond/Norfolk,Weekly,"2023-01-29 00:00:00",Conventional,1.020831635,336415.96,93960.30,75784.38,275.80,92200.09,,,
Richmond/Norfolk,Weekly,"2023-01-22 00:00:00",Conventional,1.053784442,323941.04,90227.84,70190.02,290.39,96162.21,,,
Richmond/Norfolk,Weekly,"2023-01-15 00:00:00",Conventional,1.000454450,336580.23,101411.97,77224.62,339.15,92961.76,,,
Richmond/Norfolk,Weekly,"2023-01-09 00:00:00",Conventional,1.035055622,323805.91,93530.93,70503.70,311.27,94823.28,,,
Roanoke,Weekly,"2023-01-29 00:00:00",Conventional,0.901588612,212515.11,59196.05,23439.78,692.82,53326.15,,,
Roanoke,Weekly,"2023-01-22 00:00:00",Conventional,0.939864680,206374.60,58054.63,23716.03,567.51,56775.74,,,
Roanoke,Weekly,"2023-01-15 00:00:00",Conventional,0.942840640,197173.15,59220.49,22077.10,928.90,54471.22,,,
Roanoke,Weekly,"2023-01-09 00:00:00",Conventional,0.935933024,185649.39,57343.88,21727.78,467.95,51329.95,,,
Sacramento,Weekly,"2023-01-29 00:00:00",Conventional,1.197140565,501672.19,151921.66,96626.33,121.96,117050.24,,,
Sacramento,Weekly,"2023-01-22 00:00:00",Conventional,1.464387493,409963.20,123628.55,100195.84,183.50,90341.47,,,
Sacramento,Weekly,"2023-01-15 00:00:00",Conventional,1.538107056,390826.93,97097.68,109190.06,185.48,92876.14,,,
Sacramento,Weekly,"2023-01-09 00:00:00",Conventional,1.237178417,474348.07,136493.03,91969.47,441.28,121382.99,,,
"San Diego",Weekly,"2023-01-29 00:00:00",Conventional,1.059440259,526249.87,102445.39,9434.95,9749.71,121795.41,,,
"San Diego",Weekly,"2023-01-22 00:00:00",Conventional,1.209568958,523352.06,100534.15,7726.94,10758.03,121833.96,,,
"San Diego",Weekly,"2023-01-15 00:00:00",Conventional,1.225551406,506176.32,107493.35,8011.03,10797.10,124125.52,,,
"San Diego",Weekly,"2023-01-09 00:00:00",Conventional,1.200648537,520145.24,102101.78,8953.18,15131.95,116729.15,,,
"San Francisco",Weekly,"2023-01-29 00:00:00",Conventional,1.046545852,950197.64,334052.37,80020.69,981.16,125915.02,,,
"San Francisco",Weekly,"2023-01-22 00:00:00",Conventional,1.467078950,710380.80,240650.29,111810.85,776.39,120548.81,,,
"San Francisco",Weekly,"2023-01-15 00:00:00",Conventional,1.536902025,662675.56,186990.01,118237.13,1094.50,122700.44,,,
"San Francisco",Weekly,"2023-01-09 00:00:00",Conventional,1.107996988,896915.62,325305.66,74427.85,1390.72,126345.43,,,
Seattle,Weekly,"2023-01-29 00:00:00",Conventional,1.336682119,581645.09,71547.29,63826.80,2492.51,84982.86,,,
Seattle,Weekly,"2023-01-22 00:00:00",Conventional,1.467065545,515211.61,99243.65,37262.08,3683.19,101257.75,,,
Seattle,Weekly,"2023-01-15 00:00:00",Conventional,1.507743387,450903.51,72157.26,43579.19,4098.86,97930.34,,,
Seattle,Weekly,"2023-01-09 00:00:00",Conventional,1.180225082,583972.87,82117.64,72113.04,4437.15,89520.05,,,
"South Carolina",Weekly,"2023-01-29 00:00:00",Conventional,1.013934655,572415.24,237753.41,44362.81,306.76,141784.89,,,
"South Carolina",Weekly,"2023-01-22 00:00:00",Conventional,1.020956999,580567.71,243394.90,44518.99,298.21,139550.81,,,
"South Carolina",Weekly,"2023-01-15 00:00:00",Conventional,0.997891071,575736.48,240410.73,54285.85,481.90,140645.51,,,
"South Carolina",Weekly,"2023-01-09 00:00:00",Conventional,1.052148580,521173.74,214372.95,45904.43,338.52,132541.30,,,
Spokane,Weekly,"2023-01-29 00:00:00",Conventional,1.144867194,84427.62,15616.26,9547.05,11.73,15487.60,,,
Spokane,Weekly,"2023-01-22 00:00:00",Conventional,1.219031698,78970.48,19701.77,5671.88,25.91,18396.84,,,
Spokane,Weekly,"2023-01-15 00:00:00",Conventional,1.235237536,73359.28,18275.47,10291.87,113.87,15795.58,,,
Spokane,Weekly,"2023-01-09 00:00:00",Conventional,0.980726495,92737.45,20151.66,11797.74,5.67,20468.64,,,
"St. Louis",Weekly,"2023-01-29 00:00:00",Conventional,0.956027411,215920.12,72456.98,4629.44,6.61,69183.00,,,
"St. Louis",Weekly,"2023-01-22 00:00:00",Conventional,0.908643347,221195.06,77881.47,4824.11,5.67,70309.18,,,
"St. Louis",Weekly,"2023-01-15 00:00:00",Conventional,0.927020647,211045.65,83146.77,4569.53,0.00,58847.98,,,
"St. Louis",Weekly,"2023-01-09 00:00:00",Conventional,0.875629953,234880.11,93452.75,5302.50,10.39,64433.32,,,
Syracuse,Weekly,"2023-01-29 00:00:00",Conventional,1.048292319,83913.99,13111.80,33247.91,355.30,31369.38,,,
Syracuse,Weekly,"2023-01-22 00:00:00",Conventional,1.044800662,92131.90,15390.60,37942.75,295.49,32564.91,,,
Syracuse,Weekly,"2023-01-15 00:00:00",Conventional,1.077786395,85330.25,12848.70,32416.28,254.88,33321.80,,,
Syracuse,Weekly,"2023-01-09 00:00:00",Conventional,1.093436016,84814.68,12341.76,36876.22,261.02,32263.77,,,
Tampa,Weekly,"2023-01-29 00:00:00",Conventional,0.896085250,729293.67,379796.60,6143.95,42.52,205016.37,,,
Tampa,Weekly,"2023-01-22 00:00:00",Conventional,0.885146156,724409.08,347216.65,5675.36,117.16,219571.98,,,
Tampa,Weekly,"2023-01-15 00:00:00",Conventional,0.877663710,724262.74,333372.42,5242.67,56.27,220709.80,,,
Tampa,Weekly,"2023-01-09 00:00:00",Conventional,0.885274124,700023.75,351136.54,5467.35,84.10,198575.39,,,
